ParkingSpaceId,ParkingMeterStatus,OccupancyStatus,OccupancyDateChanged
10483A,N,O,03/30/2022 18:52:58 PM
10483B,N,O,03/30/2022 18:52:58 PM
10485A,N,O,03/30/2022 09:07:32 AM
10485B,N,O,03/30/2022 09:07:32 AM
10486A,N,O,03/30/2022 17:06:28 PM
10486B,N,O,03/30/2022 17:06:28 PM
10487A,N,O,03/30/2022 20:40:51 PM
10487B,N,O,03/30/2022 20:40:51 PM
10488A,N,O,03/30/2022 18:23:15 PM
10488B,N,O,03/30/2022 18:23:15 PM
10489A,N,O,03/30/2022 18:22:13 PM
10489B,N,O,03/30/2022 18:22:13 PM
1048A,N,O,03/30/2022 23:30:07 PM
1048B,N,V,03/30/2022 23:30:07 PM
10490B,N,O,03/30/2022 10:52:52 AM
10491A,N,V,03/30/2022 11:39:51 AM
10491B,N,O,03/30/2022 11:39:51 AM
10492A,N,O,03/30/2022 20:57:42 PM
10492B,N,O,03/30/2022 20:57:42 PM
10493A,N,O,03/30/2022 06:11:42 AM
10493B,N,O,03/30/2022 06:11:42 AM
10494A,N,O,03/30/2022 22:31:16 PM
10494B,N,O,03/30/2022 22:31:16 PM
10495A,N,O,03/30/2022 19:05:26 PM
10495B,N,O,03/30/2022 19:05:26 PM
10496B,N,O,03/30/2022 06:13:42 AM
1049A,N,O,03/30/2022 19:03:06 PM
1049B,N,O,03/30/2022 19:03:06 PM
104A,N,V,03/30/2022 23:28:10 PM
104B,N,V,03/30/2022 23:28:10 PM
10501A,N,O,03/30/2022 19:34:17 PM
10501B,N,O,03/30/2022 19:34:17 PM
10502A,N,O,03/30/2022 20:39:15 PM
10502B,N,O,03/30/2022 20:39:15 PM
10503A,N,O,03/30/2022 21:19:15 PM
10503B,N,O,03/30/2022 21:19:15 PM
10504A,N,O,03/30/2022 16:38:35 PM
10504B,N,O,03/30/2022 16:38:35 PM
1050A,N,V,03/30/2022 23:25:53 PM
1050B,N,V,03/30/2022 23:25:53 PM
10511A,N,O,03/30/2022 16:58:34 PM
10511B,N,O,03/30/2022 16:58:34 PM
10512A,N,O,03/30/2022 15:33:47 PM
10512B,N,O,03/30/2022 15:33:47 PM
10513B,N,O,03/30/2022 07:41:42 AM
1051A,N,V,03/30/2022 23:28:37 PM
1051B,N,V,03/30/2022 23:28:37 PM
1052A,N,V,03/30/2022 23:29:23 PM
1052B,N,V,03/30/2022 23:29:23 PM
10534A,N,O,03/30/2022 06:10:42 AM
10534B,N,O,03/30/2022 06:10:42 AM
10535A,N,O,03/30/2022 22:09:54 PM
10535B,N,O,03/30/2022 22:09:54 PM
10536A,N,O,03/30/2022 06:13:42 AM
10536B,N,O,03/30/2022 06:13:42 AM
10537A,N,O,03/30/2022 08:00:02 AM
10537B,N,O,03/30/2022 08:00:02 AM
10539A,N,O,03/30/2022 19:37:48 PM
10539B,N,O,03/30/2022 19:37:48 PM
10540A,N,O,03/30/2022 17:13:24 PM
10540B,N,O,03/30/2022 17:13:24 PM
10541A,N,O,03/30/2022 10:36:59 AM
10541B,N,O,03/30/2022 10:36:59 AM
10542A,N,O,03/30/2022 06:12:42 AM
10542B,N,O,03/30/2022 06:12:42 AM
10543A,N,O,03/30/2022 06:11:42 AM
10543B,N,V,03/30/2022 06:11:42 AM
10544A,N,O,03/30/2022 06:10:42 AM
10544B,N,O,03/30/2022 06:10:42 AM
10545A,N,O,03/30/2022 19:18:58 PM
10545B,N,O,03/30/2022 19:18:58 PM
10546A,N,O,03/30/2022 09:51:25 AM
10546B,N,O,03/30/2022 09:51:25 AM
10547A,N,V,03/30/2022 23:29:26 PM
10547B,N,O,03/30/2022 23:29:26 PM
10548A,N,O,03/30/2022 07:41:42 AM
10548B,N,V,03/30/2022 07:41:42 AM
10549A,N,O,03/30/2022 23:10:04 PM
10549B,N,V,03/30/2022 23:10:04 PM
10550A,N,O,03/30/2022 18:12:16 PM
10550B,N,O,03/30/2022 18:12:16 PM
10551A,N,O,03/30/2022 21:17:13 PM
10551B,N,O,03/30/2022 21:17:13 PM
10552A,N,O,03/30/2022 10:17:41 AM
10552B,N,O,03/30/2022 10:17:41 AM
10553A,N,O,03/30/2022 18:06:41 PM
10553B,N,O,03/30/2022 18:06:41 PM
10554A,N,O,03/30/2022 09:00:02 AM
10554B,N,O,03/30/2022 09:00:02 AM
10555A,N,O,03/30/2022 20:43:08 PM
10555B,N,O,03/30/2022 20:43:08 PM
10556A,N,O,03/30/2022 11:01:55 AM
10556B,N,O,03/30/2022 11:01:55 AM
10557A,N,O,03/30/2022 22:53:25 PM
10557B,N,O,03/30/2022 22:53:25 PM
10581A,N,O,03/30/2022 08:32:41 AM
10581B,N,O,03/30/2022 08:32:41 AM
10582A,N,O,03/30/2022 06:12:43 AM
10582B,N,O,03/30/2022 06:12:43 AM
10583A,N,O,03/30/2022 23:12:03 PM
10583B,N,O,03/30/2022 23:12:03 PM
10584A,N,O,03/30/2022 06:10:44 AM
10585A,N,O,03/30/2022 18:27:07 PM
10585B,N,O,03/30/2022 18:27:07 PM
105A,N,V,03/30/2022 22:48:26 PM
105B,N,V,03/30/2022 22:48:26 PM
